date,min_temp,max_temp,avg_temp,humidity,weather_condition
2025-11-01,13,21,17.0,72,Sunny
2025-11-02,12,20,16.0,70,Partly Cloudy
2025-11-03,11,19,15.0,68,Cloudy
2025-11-04,10,18,14.0,75,Rain
2025-11-05,10,17,13.5,78,Rain
2025-11-06,9,17,13.0,80,Cloudy
2025-11-07,9,18,13.5,82,Sunny
2025-11-08,8,17,12.5,85,Rain
2025-11-09,8,16,12.0,83,Rain
2025-11-10,9,17,13.0,79,Cloudy
2025-11-11,10,18,14.0,77,Partly Cloudy
2025-11-12,11,19,15.0,76,Sunny
2025-11-13,12,20,16.0,74,Sunny
2025-11-14,11,19,15.0,73,Cloudy
2025-11-15,10,18,14.0,72,Partly Cloudy
2025-11-16,9,17,13.0,75,Rain
2025-11-17,8,16,12.0,78,Rain
2025-11-18,8,15,11.5,80,Cloudy
2025-11-19,7,14,10.5,82,Rain
2025-11-20,7,14,10.5,84,Rain
2025-11-21,6,13,9.5,86,Cloudy
2025-11-22,7,14,10.5,83,Rain
2025-11-23,8,15,11.5,81,Partly Cloudy
2025-11-24,9,16,12.5,79,Sunny
2025-11-25,10,17,13.5,77,Sunny
2025-11-26,9,16,12.5,78,Cloudy
2025-11-27,8,15,11.5,80,Rain
2025-11-28,8,15,11.5,82,Rain
2025-11-29,9,16,12.5,81,Partly Cloudy
2025-11-30,10,17,13.5,79,Sunny
