date,total_sleep_hours,deep_sleep_hours,light_sleep_hours,num_awakenings,sleep_score
2025-11-01,7.6,1.5,6.1,2,88
2025-11-02,6.9,1.2,5.7,3,82
2025-11-03,8.1,1.8,6.3,1,91
2025-11-04,7.4,1.4,6.0,2,86
2025-11-05,6.2,1.0,5.2,3,78
2025-11-06,7.9,1.7,6.2,2,90
2025-11-07,8.3,2.0,6.3,1,94
2025-11-08,7.1,1.3,5.8,2,84
2025-11-09,6.5,1.1,5.4,3,80
2025-11-10,7.8,1.6,6.2,2,89
2025-11-11,6.8,1.2,5.6,3,81
2025-11-12,7.2,1.3,5.9,2,85
2025-11-13,8.0,1.9,6.1,1,92
2025-11-14,6.4,1.1,5.3,3,79
2025-11-15,7.7,1.6,6.1,2,88
2025-11-16,8.4,2.1,6.3,1,95
2025-11-17,6.6,1.0,5.6,3,80
2025-11-18,7.3,1.4,5.9,2,87
2025-11-19,8.2,1.9,6.3,1,93
2025-11-20,6.7,1.1,5.6,3,81
2025-11-21,7.5,1.5,6.0,2,88
2025-11-22,5.9,0.9,5.0,4,72
2025-11-23,6.1,1.0,5.1,3,75
2025-11-24,7.4,1.3,6.1,2,86
2025-11-25,8.6,2.0,6.6,1,95
2025-11-26,6.3,1.1,5.2,3,78
2025-11-27,7.2,1.4,5.8,2,85
2025-11-28,8.1,1.8,6.3,1,92
2025-11-29,7.0,1.2,5.8,2,83
2025-11-30,6.8,1.1,5.7,3,80
